Time,Header,Text,Link
2024-02-09 17:01:40.849636,"S&P 500 Tops 5,000; PepsiCo Posts Upbeat Earnings","U.S. stocks traded mixed this morning, with the S&P 500 topping the 5,000 mark on Friday.  Following the market opening Friday, the Dow traded down 0.05% to 38,706.33 while the NASDAQ rose 0.32% to 15,844.63. The S&P 500 also rose, gaining, 0.11% to 5,003.51.",https://www.benzinga.com/news/earnings/24/02/37035188/s-p-500-tops-5-000-pepsico-posts-upbeat-earnings
2024-02-09 17:01:40.852628,Minnesota Prepares For Launch Of Its Legal Cannabis Market With Pre-Licensing Property Reforms,"As Minnesota prepares for the launch of licensed cannabis dispensaries in early 2025, the Office of Cannabis Management (OCM) is advocating for legislative adjustments to streamline the process.",https://www.benzinga.com/markets/cannabis/24/02/37019579/minnesota-prepares-for-launch-of-its-legal-cannabis-market-with-pre-licensing-property-reforms
2024-02-09 17:01:40.854623,"Bitcoin Tops $47,000; THORChain Emerges As Top Gainer","Bitcoin (CRYPTO: BTC) moved higher, with the cryptocurrency prices traded past the key $47,000 level on Friday.  Ethereum (CRYPTO: ETH) also recorded gains, approaching the key $2,500 mark this morning.",https://www.benzinga.com/markets/cryptocurrency/24/02/37034937/bitcoin-surpasses-47-000-thorchain-emerges-as-top-gainer
2024-02-09 17:01:40.857615,KK Group Hopes The Fourth Time Is Lucky With New Hong Kong IPO Bid,"Key Takeaways:   KK has filed for a long-planned Hong Kong IPO, as it recently turned profitable and opens new stores at a brisk rate The fast-growing lifestyle retailer’s GMV rose 43% in the first 10 months of 2023, while its revenue rose by 55%   By Edith Terry",https://www.benzinga.com/markets/penny-stocks/24/02/37034317/kk-group-hopes-the-fourth-time-is-lucky-with-new-hong-kong-ipo-bid
2024-02-09 17:01:40.860607,Grab And GoTo Rekindle Merger Talks Amidst Fierce Competition: Report,"Grab and GoTo reinitiate merger talks to counter fierce competition in food delivery, exploring various scenarios amidst investor support.",https://www.benzinga.com/markets/equities/24/02/37034210/grab-and-goto-rekindle-merger-talks-amidst-fierce-competition-report
2024-02-09 17:01:40.862601,Synaptics Analysts Increase Their Forecasts After Upbeat Earnings,Synaptics Incorporated  (NASDAQ: SYNA) posted better-than-expected second-quarter financial results on Thursday.,https://www.benzinga.com/news/earnings/24/02/37033983/synaptics-analysts-increase-their-forecasts-after-upbeat-earnings
2024-02-09 17:01:40.864596,Top 5 Health Care Stocks That Are Preparing To Pump In February,The most oversold stocks in the health care sector presents an opportunity to buy into undervalued companies.,https://www.benzinga.com/trading-ideas/long-ideas/24/02/37032577/top-5-health-care-stocks-that-are-preparing-to-pump-in-february
2024-02-09 17:01:40.867588,Insiders Buying Monro And 3 Other Stocks,"Although U.S. stocks closed higher on Thursday, there were a few notable insider trades.",https://www.benzinga.com/trading-ideas/long-ideas/24/02/37032578/insiders-buying-monro-and-3-other-stocks
2024-02-09 17:01:40.869583,CyberArk Software To Rally Around 19%? Here Are 10 Top Analyst Forecasts For Friday,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page.",https://www.benzinga.com/news/24/02/37032509/cyberark-software-to-rally-around-19-here-are-10-top-analyst-forecasts-for-friday
2024-02-09 17:01:40.871577,"PepsiCo Raises Dividend After Mixed Q4 Performance, Shares Fall As Annual Organic Revenue Outlook Disappoints","PepsiCo beats Q4 earnings expectations but misses revenue estimates, shares decline despite dividend increase and optimistic 2024 outlook.",https://www.benzinga.com/news/earnings/24/02/37032436/beverage-giant-pepsico-misses-on-q4-revenues-shares-fall
2024-02-09 17:01:40.873571,Why Cloudflare Shares Are Trading Higher By Over 25%; Here Are 20 Stocks Moving Premarket,"Shares of  Cloudflare, Inc. (NYSE: NET) rose sharply in today’s pre-market trading after the company reported better-than-expected fourth-quarter financial results and",https://www.benzinga.com/news/24/02/37032129/why-cloudflare-shares-are-trading-higher-by-over-25-here-are-20-stocks-moving-premarket
2024-02-09 17:01:40.874568,"Alphabet, Visa And 2 Other Stocks Insiders Are Selling","The Nasdaq 100 closed higher by around 0.2% on Thursday. Investors, meanwhile, focused on some notable insider trades.",https://www.benzinga.com/news/24/02/37031567/alphabet-visa-and-2-other-stocks-insiders-are-selling
2024-02-09 17:01:40.876563,Wall Street's Most Accurate Analysts' Views On 3 Defensive Stocks Delivering High-Dividend Yields,"During times of turbulence and uncertainty in the markets, many investors turn to dividend-yielding stocks. These are often companies that have high free cash flows and reward shareholders with a  high dividend payout.",https://www.benzinga.com/news/24/02/37031329/wall-streets-most-accurate-analysts-views-on-3-defensive-stocks-delivering-high-dividend-yields
2024-02-09 17:01:40.877560,Top 5 Tech And Telecom Stocks That May Fall Off A Cliff This Quarter,"As of Feb. 9, 2024, five stocks in the communication services sector could be flashing a real warning to investors who value momentum as a key criteria in their trading decisions.",https://www.benzinga.com/news/24/02/37031316/top-5-tech-and-telecom-stocks-that-may-fall-off-a-cliff-this-quarter
